rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
46,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_60_62/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
47,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_6_8/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
48,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_9_11/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
49,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_0_2/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
50,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_12_14/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
51,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_15_17/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
52,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_18_20/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
53,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_21_23/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
54,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_24_26/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
55,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_27_29/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
