claim_scope,ownership_bucket,detail_bucket,resource_class,ref_name,cell_name,parent_name,classification_reason
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT3","ecc_dst_q[2]_i_4",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[2]_i_5",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[2]_i_6",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[2]_i_7",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[2]_i_8",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[2]_i_9",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT5","ecc_dst_q[2]_i_10",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT5","ecc_dst_q[2]_i_11",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT5","ecc_dst_q[3]_i_1",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[3]_i_3",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT4","ecc_dst_q[3]_i_4",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[3]_i_5",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[3]_i_6",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[3]_i_7",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[3]_i_8",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[3]_i_9",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[3]_i_10",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[4]_i_1",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[4]_i_2",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[4]_i_3",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT5","ecc_dst_q[4]_i_4",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[4]_i_5",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT5","ecc_dst_q[4]_i_6",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[5]_i_1",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT5","ecc_dst_q[5]_i_2",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT4","ecc_dst_q[5]_i_3",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[5]_i_4",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[5]_i_5",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[5]_i_6",".","named ECC field-operation state or control"
