pattern,object_name,object_type,ref_name,hierarchy,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3_n_0",net,,"gen_lane[0].i_p2_pop_slice",1,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/CO[3]",1,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3_n_1",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/CO[2]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3_n_2",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/CO[1]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3_n_3",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/CO[0]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[8]",net,,"gen_lane[0].i_p2_pop_slice",11,"gen_lane[2].i_p2_pop_slice/hsim_total_q[10]_i_5/O",11,"0;2",1
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][10]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",3,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_20/O",3,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][14]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",3,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_11/O",3,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][15]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",1,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_56/O",1,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][18]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",1,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_55/O",1,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][19]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",6,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_11/O",6,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][19]_0",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",2,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_22/O",2,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][1]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",3,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_5/O",3,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][1]_0",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",3,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_4/O",3,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][1]_1",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",2,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_5/O",2,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][23]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",4,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_3/O",4,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][23]_0",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",2,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_8/O",2,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][24]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",1,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_52/O",1,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][27]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",1,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_51/O",1,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][32]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",4,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_2/O",4,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][32]_0",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",2,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_9/O",2,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][41]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",4,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_4/O",4,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][41]_0",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",3,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_7/O",3,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][50]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",3,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_5/O",3,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][55]",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",3,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_2/O",3,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][55]_0",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",6,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_10/O",6,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][55]_1",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",5,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_3/O",5,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][55]_2",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",4,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[6]_i_19/O",4,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/i_popcount/bank_ra_data_o_reg[0][55]_3",net,,"gen_lane[0].i_p2_pop_slice/i_popcount",1,"gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_10/O",1,"",0
