claim_scope,physical_lut_key,loc,lut_letter,logical_lut_cell_count,ownership_set,physical_class,counted_ecc_private_lower_bound,logical_cell_names
"route_physical_ecc_private_lower_bound","SLICE_X42Y17/D","SLICE_X42Y17","D","1","hdc_private","hdc_private_only","0","uop_p0_q[is_last_class]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X42Y18/A","SLICE_X42Y18","A","1","hdc_private","hdc_private_only","0","uop_p0_q[class_idx][2]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y26/A","SLICE_X42Y26","A","1","shared","shared_only","0","i_vec/i_gf2_contribution_row_tile/payload_q[3][61]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y26/D","SLICE_X42Y26","D","1","shared","shared_only","0","i_vec/i_gf2_contribution_row_tile/payload_q[3][2]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y27/A","SLICE_X42Y27","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_16;i_vec/popcount_part_q[3][1][4]_i_17"
"route_physical_ecc_private_lower_bound","SLICE_X42Y27/B","SLICE_X42Y27","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_14"
"route_physical_ecc_private_lower_bound","SLICE_X42Y28/A","SLICE_X42Y28","A","1","shared","shared_only","0","i_vec/i_gf2_contribution_row_tile/payload_q[0][54]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y29/A","SLICE_X42Y29","A","1","shared","shared_only","0","i_vec/i_vrf_i_336"
"route_physical_ecc_private_lower_bound","SLICE_X42Y29/B","SLICE_X42Y29","B","1","shared","shared_only","0","i_vec/i_vrf_i_344"
"route_physical_ecc_private_lower_bound","SLICE_X42Y29/C","SLICE_X42Y29","C","1","shared","shared_only","0","i_vec/i_vrf_i_649"
"route_physical_ecc_private_lower_bound","SLICE_X42Y29/D","SLICE_X42Y29","D","1","shared","shared_only","0","i_vec/i_vrf_i_653"
"route_physical_ecc_private_lower_bound","SLICE_X42Y31/A","SLICE_X42Y31","A","1","shared","shared_only","0","i_vec/i_vrf_i_288"
"route_physical_ecc_private_lower_bound","SLICE_X42Y31/B","SLICE_X42Y31","B","1","shared","shared_only","0","i_vec/i_vrf_i_297"
"route_physical_ecc_private_lower_bound","SLICE_X42Y31/C","SLICE_X42Y31","C","1","shared","shared_only","0","i_vec/i_vrf_i_303"
"route_physical_ecc_private_lower_bound","SLICE_X42Y31/D","SLICE_X42Y31","D","1","shared","shared_only","0","i_vec/i_vrf_i_323"
"route_physical_ecc_private_lower_bound","SLICE_X42Y32/A","SLICE_X42Y32","A","2","shared","shared_only","0","i_vec/ecc_leaf_prod_q[8]_i_2;i_vec/popcount_part_q[3][0][5]_i_35"
"route_physical_ecc_private_lower_bound","SLICE_X42Y32/B","SLICE_X42Y32","B","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][2]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X42Y32/C","SLICE_X42Y32","C","2","shared","shared_only","0","i_vec/popcount_part_q[0][1][5]_i_16;i_vec/popcount_part_q[0][1][5]_i_24"
"route_physical_ecc_private_lower_bound","SLICE_X42Y32/D","SLICE_X42Y32","D","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][5]_i_12"
"route_physical_ecc_private_lower_bound","SLICE_X42Y33/A","SLICE_X42Y33","A","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][2]_i_15"
